Assembly Accession,Assembly Name,Organism Name,Organism Infraspecific Names Strain,Assembly Level,Assembly Release Date,Assembly Stats Number of Scaffolds
GCA_001375555.1,Numidum massiliensis,Numidum massiliense,mt3,Contig,2015-04-20,
GCA_013409425.1,ASM1340942v1,Nocardioides perillae,DSM 24552,Contig,2020-07-13,
GCA_019145355.1,ASM1914535v1,Pseudomonas azadiae,SWRI103,Contig,2021-07-06,
GCA_042647625.1,ASM4264762v1,Sphingobium rhizovicinum,CCM 7491,Contig,2024-10-05,
GCA_900091415.1,IMG-taxon 2636415978 annotated assembly,Micromonospora inyonensis,DSM 46123,Contig,2016-08-25,
GCA_004123145.1,ASM412314v1,Blautia faecicola,KGMB01111,Contig,2019-01-30,
GCA_013410455.1,ASM1341045v1,Allobranchiibius huperziae,DSM 29531,Contig,2020-07-13,
GCA_947077775.1,Salinibacter ESAV49,Salinibacter pepae,ESAV49,Contig,2022-10-18,
GCA_900452515.1,51184_B02,Legionella birminghamensis,NCTC12437,Contig,2018-08-01,
GCA_006716205.1,ASM671620v1,Oryzihumus leptocrescens,DSM 18082,Contig,2019-07-08,
GCA_013410745.1,ASM1341074v1,Nesterenkonia xinjiangensis,DSM 15475,Contig,2020-07-13,
GCA_004365915.1,ASM436591v1,Cryobacterium psychrophilum,DSM 4854,Contig,2019-03-22,
GCA_005298175.1,ASM529817v1,Marinobacter panjinensis,PJ-16,Scaffold,2019-05-13,6
GCA_030159855.1,ASM3015985v1,Devosia yakushimensis,NBRC 103855,Scaffold,2023-02-15,11
GCA_030159975.1,ASM3015997v1,Sulfitobacter pacificus,NBRC 109915,Contig,2023-02-15,
GCA_000731955.1,B6,Halomonas zincidurans B6,B6,Contig,2014-07-21,
GCA_900111945.1,IMG-taxon 2617270836 annotated assembly,Litoreibacter janthinus,DSM 26921,Scaffold,2016-11-02,4
GCA_006715095.1,ASM671509v1,Yimella lutea,DSM 19828,Contig,2019-07-08,
GCA_002901445.1,ASM290144v1,Deinococcus koreensis,SJW1-2,Contig,2018-01-27,
GCA_002564005.1,ASM256400v1,Sanguibacter antarcticus,DSM 18966,Contig,2017-10-17,
GCA_003254475.1,ASM325447v1,Phenylobacterium soli,LX32,Contig,2018-06-18,
GCA_040892595.1,ASM4089259v1,Zhongshania arctica,R06B22,Contig,2024-07-26,
GCA_030409715.1,ASM3040971v1,Reinekea marina,CECT 8288,Contig,2023-07-05,
GCA_011174705.1,ASM1117470v1,Tessaracoccus coleopterorum,HDW20,Contig,2020-03-12,
GCA_029955235.1,ASM2995523v1,Pseudomonas fungipugnans,681,Contig,2023-05-08,
GCA_039534975.1,ASM3953497v1,Microbacterium terregens,JCM 1342,Contig,2024-02-23,
GCA_002846495.1,ASM284649v1,Phycicoccus duodecadis,DSM 12806,Contig,2017-12-21,
GCA_019679475.1,ASM1967947v1,Hyphomonas sediminis,WL0036,Contig,2021-08-18,
GCA_002797715.1,ASM279771v1,Diaminobutyricimonas aerilata,DSM 27393,Contig,2017-11-28,
GCA_013408305.1,ASM1340830v1,Naumannella cuiyingiana,DSM 103164,Contig,2020-07-13,
GCA_900460175.1,50592_A01,Legionella maceachernii,NCTC11982,Contig,2018-08-01,
GCA_013179735.1,ASM1317973v1,Permianibacter fluminis,IMCC34836,Contig,2020-05-27,
GCA_900452925.1,42650_E02,Legionella wadsworthii,NCTC11532,Contig,2018-08-01,
GCA_001953745.1,ASM195374v1,Natrinema saccharevitans,AB14,Contig,2017-01-18,
GCA_003449035.1,ASM344903v1,Pedobacter indicus,SM1810,Contig,2018-09-04,
GCA_037031225.1,ASM3703122v1,Halorientalis halophila,LT38,Contig,2024-03-05,
GCA_907163265.1,Georgfuchsia_toluolica_G5G6_assembly,Georgfuchsia toluolica,G5G6,Contig,2021-08-14,
GCA_905175375.1,Chryseobacterium_CECT9390,Chryseobacterium aquaeductus,CECT 9390,Contig,2021-01-28,
GCA_003600895.1,ASM360089v1,Nocardioides cavernaquae,K1W22B-1,Contig,2018-09-28,
GCA_032911445.1,ASM3291144v1,Sphingomonas agrestis,HF-S4,Contig,2023-10-21,
GCA_014204755.1,ASM1420475v1,Brachybacterium aquaticum,DSM 28796,Contig,2020-08-14,
GCA_003074135.1,ASM307413v1,Euzebya tangerina,F10,Contig,2018-04-26,
GCA_014287355.1,ASM1428735v1,Ruminococcus hominis,NSJ-13,Contig,2020-08-24,
GCA_902497555.1,ASM90249755v1,Amycolatopsis camponoti,A23,Contig,2019-11-07,
GCA_023108895.1,ASM2310889v1,Photorhabdus noenieputensis,DSM 25462,Contig,2022-04-25,
GCA_900461525.1,50618_A02,Legionella busanensis,NCTC13316,Contig,2018-08-01,
GCA_900625065.1,PRJEB29221,Prevotella marseillensis,Marseille-P8229,Contig,2018-12-05,
GCA_001045555.1,ASM104555v1,Marinobacter subterrani,JG233,Contig,2015-07-02,
GCA_042678545.1,ASM4267854v1,Paenibacillus provencensis,CCUG 53519,Contig,2024-10-06,
GCA_001752395.1,ASM175239v1,Rheinheimera salexigens,KH87,Scaffold,2016-10-04,2
GCA_001282685.1,Niameyia massiliensis,Niameybacter massiliensis,Mt14,Scaffold,2015-08-20,11
GCA_921010045.1,Aquimarina sp. strain Aq135,Aquimarina aquimarini,Aq135,Contig,2022-01-15,
GCA_006716095.1,ASM671609v1,Barrientosiimonas humi,DSM 24617,Contig,2019-07-08,
GCA_013408925.1,ASM1340892v1,Pedococcus badiiscoriae,DSM 23987,Contig,2020-07-13,
GCA_003391115.1,ASM339111v1,Sphingomonas crusticola,MIMD3,Contig,2018-08-13,
GCA_032191465.1,ASM3219146v1,Candidatus Nitronereus thalassa,EB,Contig,2023-09-29,
GCA_000821325.1,PRJEB6479_assembly_1,Planococcus massiliensis,ES2,Contig,2014-10-09,
GCA_900169075.1,PRJEB19812,Chryseobacterium phocaeense,6021061333,Scaffold,2017-03-24,4
GCA_003591035.1,ASM359103v1,Noviherbaspirillum saxi,K1R23-30,Contig,2018-09-24,
GCA_024436415.1,ASM2443641v1,Pedobacter deserti,SYSU D00382,Contig,2022-07-25,
GCA_045865545.1,ASM4586554v1,Desulfovibrio falkowii,13CB8C,Contig,2024-08-28,
GCA_009687825.1,ASM968782v1,Deinococcus kurensis,KR1,Contig,2019-11-13,
GCA_013408565.1,ASM1340856v1,Janibacter alkaliphilus,DSM 24723,Contig,2020-07-13,
GCA_900240245.1,PRJEB23758,Lachnoclostridium edouardi,Marseille-P3397,Contig,2018-01-02,
GCA_003634715.1,ASM363471v1,Haloarcula quadrata,DSM 11927,Contig,2018-10-11,
GCA_026283945.1,ASM2628394v1,Dyella humicola,RBB1W86,Contig,2022-11-22,
GCA_002954765.1,ASM295476v1,Nonlabens arenilitoris,KCTC 32109,Contig,2018-02-27,
GCA_004118375.1,ASM411837v1,Oleiharenicola lentus,TWA-58,Contig,2019-01-29,
GCA_009455685.1,ASM945568v1,Paraburkholderia hayleyella,BhQS11,Contig,2019-11-01,
GCA_015220045.1,ASM1522004v1,Marivivens aquimaris,GSB7,Contig,2020-10-28,
GCA_030161875.1,ASM3016187v1,Homoserinibacter gongjuensis,NBRC 108755,Contig,2023-03-24,
GCA_010119235.1,ASM1011923v1,Flavobacterium phycosphaerae,MK012,Contig,2020-02-03,
GCA_042432325.1,ASM4243232v1,Fictibacillus aquaticus,CCM 8782,Contig,2024-09-28,
GCA_002563925.1,ASM256392v1,Serinibacter salmoneus,DSM 21801,Contig,2017-10-17,
GCA_002563675.1,ASM256367v1,Propionicimonas paludicola,DSM 15597,Contig,2017-10-17,
GCA_021010565.1,ASM2101056v1,Chryseobacterium turcicum,C-17,Contig,2021-11-29,
GCA_022809125.1,ASM2280912v1,Variovorax terrae,CYS-02,Scaffold,2022-04-02,5
GCA_028204155.1,ASM2820415v1,Vibrio algarum,KJ40-1,Contig,2023-01-29,
GCA_001245615.1,Mycobacterium neworleansense assembly 1,Mycolicibacterium neworleansense,ATCC 49404T,Contig,2015-07-26,
GCA_023721795.1,ASM2372179v1,Zeimonas sediminis,FT117,Contig,2022-06-14,
GCA_902806455.1,Q1616,Virgibacillus doumboii,Marseille-Q1616,Contig,2020-02-18,
GCA_018398355.1,ASM1839835v1,Chelatococcus composti,DSM 101465,Contig,2021-05-18,
GCA_021504595.1,ASM2150459v1,Chryseobacterium indicum,PS-8,Contig,2022-01-18,
GCA_002797555.1,ASM279755v1,Hymenobacter chitinivorans DSM 11115,DSM 11115,Contig,2017-11-28,
GCA_003752405.1,ASM375240v1,Bogoriella caseilytica,DSM 11294,Contig,2018-11-15,
GCA_026344055.1,ASM2634405v1,Kaistia geumhonensis,DSM 18799,Contig,2022-11-23,
GCA_030409905.1,ASM3040990v1,Echinicola jeungdonensis,CECT 7682,Contig,2023-07-05,
GCA_014207745.1,ASM1420774v1,Nonomuraea muscovyensis,DSM 45913,Contig,2020-08-14,
GCA_022758235.1,ASM2275823v1,Pontibacter liquoris,NBU2971,Contig,2022-03-29,
GCA_900291975.1,PRJEB24950,Agathobaculum massiliense,Marseille-P4005,Contig,2018-03-23,
GCA_014642855.1,ASM1464285v1,Edaphobacter acidisoli,CGMCC 1.15447,Contig,2020-09-12,
GCA_025961205.1,ASM2596120v1,Azospirillum fermentarium,CC-LY743,Contig,2022-11-02,
GCA_030409795.1,ASM3040979v1,Flavobacterium paronense,CECT 8460,Contig,2023-07-05,
GCA_009601165.1,ASM960116v1,Alcanivorax sediminis,PA15-N-34,Contig,2019-11-05,
GCA_000527035.1,ASM52703v1,Tolumonas lignilytica,BRL6-1,Contig,2014-01-03,
GCA_002994045.1,ASM299404v1,Nonlabens agnitus,JCM 17109,Scaffold,2018-03-12,4
GCA_033542615.1,ASM3354261v1,Vibrio plantisponsor,MSSRF60,Contig,2023-11-11,
GCA_017834145.1,ASM1783414v1,Leucobacter exalbidus,DSM 22850,Contig,2021-04-07,
GCA_016907295.1,ASM1690729v1,Microbacterium dextranolyticum,DSM 8607,Contig,2021-02-19,
GCA_030161575.1,ASM3016157v1,Arenivirga flava,NBRC 112289,Contig,2023-03-24,
GCA_009455625.1,ASM945562v1,Paraburkholderia bonniea,BbQS859,Contig,2019-11-01,
GCA_900452395.1,50618_B01,Legionella beliardensis,NCTC13315,Contig,2018-08-01,
GCA_009707705.1,ASM970770v1,Paludibacterium denitrificans,dN18-1,Contig,2019-11-24,
GCA_018919205.1,ASM1891920v1,Dysosmobacter acutus,MSJ-2,Contig,2021-06-16,
GCA_019264345.1,ASM1926434v1,Marinobacter arenosus,CAU 1620,Scaffold,2021-07-17,8
GCA_004765605.1,ASM476560v1,Hymenobacter aquaticus,JCM 31653,Contig,2019-04-08,
GCA_017876545.1,ASM1787654v1,Brachybacterium sacelli,DSM 14566,Contig,2021-04-08,
GCA_030409605.1,ASM3040960v1,Simiduia curdlanivorans,CECT 8570,Contig,2023-07-05,
GCA_003590815.1,ASM359081v1,Deinococcus cavernae,K2S05-167,Contig,2018-09-24,
GCA_003970925.1,ASM397092v1,Sphingomonas ginkgonis,HMF7854,Contig,2018-12-15,
GCA_042665795.1,ASM4266579v1,Schaalia naturae,CCUG 56698,Contig,2024-10-06,
GCA_002797675.1,ASM279767v1,Hallerella succinigenes,UWS3,Contig,2017-11-28,
GCA_014204835.1,ASM1420483v1,Microbacterium marinum,DSM 24947,Contig,2020-08-14,
GCA_016651435.1,ASM1665143v1,Catonella massiliensis,Marseille-Q4567,Contig,2021-01-16,
GCA_904846315.1,ASM90484631v1,Psychrobacter jeotgali,,Contig,2020-11-21,
GCA_900461105.1,52654_E01,Clostridium putrefaciens,NCTC9836,Contig,2018-08-07,
GCA_041477585.1,ASM4147758v1,Halobellus rubicundus,MBLA0158,Contig,2024-08-26,
GCA_023074835.1,ASM2307483v1,Halomarina salina,ZS-57-S,Contig,2022-04-20,
GCA_034555935.1,ASM3455593v1,Marinobacter qingdaonensis,ASW11-75,Scaffold,2023-12-24,5
GCA_028595265.1,ASM2859526v1,Alteromonas gilva,chi3,Scaffold,2023-02-11,7
GCA_039535785.1,ASM3953578v1,Nonomuraea helvata,JCM 3143,Contig,2024-02-23,
GCA_900290265.1,PRJEB24600,Clostridium cagae,Marseille-P4344,Contig,2018-02-21,
GCA_015686695.1,ASM1568669v1,Vibrio nitrifigilis,NFV-1,Contig,2020-11-24,
GCA_014639155.1,ASM1463915v1,Paenibacillus segetis,CGMCC 1.12769,Scaffold,2020-09-12,18
GCA_042646385.1,ASM4264638v1,Cypionkella sinensis,KCTC 52039,Contig,2024-10-05,
GCA_016907875.1,ASM1690787v1,Arthrobacter roseus,DSM 14508,Contig,2021-02-19,
GCA_000711225.1,ASM71122v1,Pelobacter seleniigenes DSM 18267,DSM 18267,Contig,2014-06-24,
GCA_002019705.1,ASM201970v1,Shouchella patagoniensis,DSM 16117,Scaffold,2017-03-06,3
GCA_039531105.1,ASM3953110v1,Microbacterium lacus,JCM 15575,Scaffold,2024-02-23,8
GCA_029872915.1,ASM2987291v1,Psychrobacter pocilloporae,S6-60,Contig,2023-04-25,
GCA_009674625.1,ASM967462v1,Haloferax marinum,MBLA0078,Contig,2019-11-19,
GCA_900453045.1,52465_G01,Legionella worsleiensis,NCTC12377,Contig,2018-08-01,
GCA_006716345.1,ASM671634v1,Microbacterium saperdae,DSM 20169,Contig,2019-07-08,
GCA_018531375.1,ASM1853137v1,Cellulomonas fulva,DKR-3,Scaffold,2021-05-26,3
GCA_011761475.1,ASM1176147v1,Saccharococcus thermophilus,DSM 4749,Contig,2020-03-27,
GCA_015221995.1,ASM1522199v1,Mucilaginibacter boryungensis,KCTC 23157,Contig,2020-11-03,
GCA_900105715.1,IMG-taxon 2630968996 annotated assembly,Paramicrobacterium humi,DSM 21799,Contig,2016-10-22,
GCA_001542905.1,ASM154290v1,Halorubrum aethiopicum,SAH-A6,Contig,2016-01-29,
GCA_900109955.1,IMG-taxon 2687453744 annotated assembly,Aliiroseovarius sediminilitoris,DSM 29439,Contig,2016-10-31,
GCA_001890765.1,ASM189076v1,Spirulina major PCC 6313,PCC 6313,Scaffold,2016-12-07,2
GCA_004005865.1,ASM400586v1,Sphingomonas crocodyli,CCP-7,Contig,2019-01-08,
GCA_002943755.1,ASM294375v1,Aureitalea marina,NBRC 107741,Contig,2018-02-26,
GCA_007995055.1,ASM799505v1,Sphingosinicella ginsenosidimutans,BS-11,Contig,2019-08-13,
GCA_013409005.1,ASM1340900v1,Demequina lutea,DSM 19970,Contig,2020-07-13,
GCA_042686385.1,ASM4268638v1,Fictibacillus nanhaiensis,KCTC 13712,Contig,2024-10-07,
GCA_028368995.1,ASM2836899v1,Nannocystis bainbridge,BB15-2,Contig,2023-01-31,
GCA_008244685.1,ASM824468v1,Luteimonas viscosa,XBU10,Scaffold,2019-09-02,9
GCA_003668555.1,ASM366855v1,Notoacmeibacter ruber,M2BS9Y-3-1,Contig,2018-10-22,
GCA_025685395.1,ASM2568539v1,Terriglobus tenax,DRP 35,Contig,2022-10-13,
GCA_004118675.1,ASM411867v1,Filimonas effusa,TTM-71,Contig,2019-01-29,
GCA_030182585.1,ASM3018258v1,Pedobacter faecalis,ELA7,Contig,2023-06-06,
GCA_006443685.1,ASM644368v1,Rhizobium glycinendophyticum,CL12,Contig,2019-06-24,
GCA_021608225.1,ASM2160822v1,Pseudalkalibacillus berkeleyi,KCTC 12718,Contig,2022-01-25,
GCA_020141465.1,ASM2014146v1,Roseovarius carneus,LXJ103,Contig,2021-09-24,
GCA_042665695.1,ASM4266569v1,Paraburkholderia humisilvae,NCAIM B.02543,Contig,2024-10-06,
GCA_014635305.1,ASM1463530v1,Williamsia phyllosphaerae,CCM 7855,Contig,2020-09-12,
GCA_009674605.1,ASM967460v1,Haloferax litoreum,MBLA0076,Contig,2019-11-19,
GCA_003367195.1,ASM336719v1,Undibacter mobilis,GY_H,Contig,2018-08-07,
GCA_003596405.1,ASM359640v1,Pseudomonas cavernicola,K1S02-6,Contig,2018-09-24,
GCA_034541975.1,ASM3454197v1,Dermacoccus abyssi,MT1.1,Contig,2023-12-21,
GCA_003336245.1,ASM333624v1,Haloplanus salinus,JCM 18368,Contig,2018-07-23,
GCA_006717045.1,ASM671704v1,Pseudonocardia cypriaca,DSM 45511,Contig,2019-07-08,
GCA_900083545.1,PRJEB13794,Alistipes provencensis,Marseille-P2431T,Scaffold,2016-05-05,5
GCA_003044185.1,ASM304418v1,Paraconexibacter algicola,Seoho-28,Contig,2018-04-07,
GCA_003752465.1,ASM375246v1,Agrococcus jenensis,DSM 9580,Contig,2018-11-15,
GCA_029029525.1,ASM2902952v1,Paralabilibaculum antarcticum,DW002,Contig,2023-03-08,
GCA_003260015.1,ASM326001v1,Nakamurella deserti,12Sc4-1,Contig,2018-06-22,
GCA_031458395.1,ASM3145839v1,Enteractinococcus fodinae,DSM 22966,Contig,2023-09-13,
GCA_015831355.1,ASM1583135v1,Panacibacter microcysteis,DH6,Contig,2020-12-07,
GCA_004310685.1,ASM431068v1,Glaciihabitans arcticus,RP-3-7,Contig,2019-02-27,
GCA_003399445.1,ASM339944v1,Parvularcula marina,SM1705,Scaffold,2018-08-16,37
GCA_947568225.1,B095,Faecalispora anaeroviscerum,CIES53,Contig,2023-04-29,
GCA_003574295.1,ASM357429v1,Mediterraneibacter butyricigenes,KCTC 15684,Contig,2018-09-12,
GCA_013409745.1,ASM1340974v1,Microbacterium pseudoresistens,DSM 22185,Contig,2020-07-13,
GCA_900453335.1,48853_C02,Moraxella equi,NCTC11012,Contig,2018-08-01,
GCA_011758645.1,ASM1175864v1,Brooklawnia cerclae,DSM 19609,Contig,2020-03-26,
GCA_042432745.1,ASM4243274v1,Camelimonas abortus,CCM 7941,Contig,2024-09-28,
GCA_021432385.1,ASM2143238v1,Clostridium hydrogenum,CUEA01,Contig,2022-01-11,
GCA_042677105.1,ASM4267710v1,Microbacterium koreense,CCUG 50754,Contig,2024-10-06,
GCA_002072955.1,ASM207295v1,Methyloprofundus sedimenti,WF1,Contig,2017-03-28,
GCA_015751895.1,ASM1575189v1,Zhihengliuella flava,DSM 26152,Contig,2020-12-04,
GCA_900115175.1,IMG-taxon 2617270919 annotated assembly,Marinobacter gudaonensis,CGMCC 1.6294,Scaffold,2016-11-02,9
GCA_026151395.1,ASM2615139v1,Leptospira limi,VSF25,Contig,2022-11-11,
GCA_009669325.1,ASM966932v1,Roseovarius bejariae,A21,Contig,2019-11-18,
GCA_900104655.1,PRJEB16360,Millionella massiliensis,Marseille-P3215T,Contig,2016-10-27,
GCA_002564025.1,ASM256402v1,Flavimobilis soli,DSM 21574,Contig,2017-10-17,
GCA_014873955.1,ASM1487395v1,Nesterenkonia lutea,DSM 15666,Contig,2020-10-09,
GCA_900104635.1,PRJEB16356,Coprococcus phoceensis,Marseille-P3062T,Contig,2016-10-27,
GCA_022568795.1,ASM2256879v1,Arsenicicoccus dermatophilus,DSM 25571,Contig,2022-03-14,
GCA_030161615.1,ASM3016161v1,Demequina litorisediminis,NBRC 112299,Contig,2023-03-24,
GCA_921293875.1,V_stylophorae_CECT7929,Vibrio stylophorae,CECT 7929,Contig,2022-01-30,
GCA_023091245.1,ASM2309124v1,Microbacterium croceum,SSW1-49,Scaffold,2022-04-22,3
GCA_014190875.1,ASM1419087v1,Paeniglutamicibacter cryotolerans,DSM 22826,Contig,2020-08-14,
GCA_006716885.1,ASM671688v1,Ornithinimicrobium humiphilum,DSM 12362,Contig,2019-07-08,
GCA_003063475.1,ASM306347v1,Limnohabitans curvus,MWH-C5,Contig,2018-04-23,
GCA_009827455.1,ASM982745v1,Pontixanthobacter aestiaquae,KCTC 42006,Contig,2020-01-02,
GCA_015865035.1,ASM1586503v1,Novosphingobium aureum,YJ-S2-02,Contig,2020-12-08,
GCA_003258515.1,ASM325851v1,Marinobacter bohaiensis,T17,Contig,2018-06-20,
GCA_003815535.1,ASM381553v1,Aurantiacibacter spongiae,HN-E23,Contig,2018-11-24,
GCA_002797735.1,ASM279773v1,Thermoflavifilum aggregans,DSM 27268,Contig,2017-11-28,
GCA_001293685.1,ASM129368v1,Desulfatitalea tepidiphila,S28bF,Contig,2015-08-31,
GCA_012932565.1,ASM1293256v1,Sneathiella limimaris,KCTC 52846,Contig,2020-04-29,
GCA_006788895.1,ASM678889v1,Rhodoglobus vestalii,DSM 21947,Contig,2019-07-09,
GCA_001282785.1,halo7,Halolamina sediminis,halo7,Contig,2015-08-17,
GCA_002975205.1,ASM297520v1,Ochrobactrum vermis,MYb71,Contig,2018-03-07,
GCA_000955725.1,ASM95572v1,Caldicellulosiruptor danielii,Wai35.B1,Contig,2015-03-17,
GCA_017355875.1,ASM1735587v1,Aridibaculum aurantiacum,SYSU D00508,Contig,2021-03-15,
GCA_001758195.1,ASM175819v1,Pseudohongiella acticola,KCTC 42131,Contig,2016-10-12,
GCA_900110535.1,IMG-taxon 2617270915 annotated assembly,Halobacterium jilantaiense,CGMCC 1.5337,Contig,2016-10-31,
GCA_001940235.1,ASM194023v1,Hornefia porci,68-3-10,Contig,2017-01-09,
GCA_003751805.1,ASM375180v1,Salana multivorans,DSM 13521,Contig,2018-11-15,
GCA_009827575.1,ASM982757v1,Alteriqipengyuania halimionae,LMG 29519,Contig,2020-01-02,
GCA_009674585.1,ASM967458v1,Haloferax marinisediminis,MBLA0077,Contig,2019-11-19,
GCA_030717945.1,ASM3071794v1,Qipengyuania profundimaris,G39,Scaffold,2023-08-13,3
GCA_023277115.1,ASM2327711v1,Acidithiobacillus acidisediminis,S30A2,Contig,2022-05-08,
GCA_030553305.1,ASM3055330v1,Halomarina ordinaria,PSRA2,Contig,2023-07-31,
GCA_900187375.1,IMG-taxon 2728369218 annotated assembly,Hymenobacter gelipurpurascens,DSM 11116,Scaffold,2017-06-29,9
GCA_904846035.1,ASM90484603v1,Psychrobacter aestuarii,,Contig,2020-11-21,
GCA_026343945.1,ASM2634394v1,Kaistia algarum,JCM 31803,Contig,2022-11-23,
GCA_010614805.1,ASM1061480v1,Pseudooceanicola aestuarii,E2-1,Contig,2020-02-14,
GCA_014190805.1,ASM1419080v1,Flexivirga oryzae,DSM 105369,Contig,2020-08-14,
GCA_033441515.1,ASM3344151v1,Amycolatopsis solani,MEP2-6,Contig,2023-11-08,
GCA_030418295.1,ASM3041829v1,Demequina muriae,EGI L300058,Contig,2023-07-10,
GCA_004135645.1,ASM413564v1,Senegalimassilia faecalis,KGMB04484,Contig,2019-02-02,
GCA_002563855.1,ASM256385v1,Tepidiforma thermophila,G233,Contig,2017-10-17,
GCA_003054285.1,ASM305428v1,Litoreibacter ponti,DSM 100977,Contig,2018-04-17,
GCA_014297275.1,ASM1429727v1,Clostridium facile,NSJ-27,Contig,2020-08-25,
GCA_028745505.1,ASM2874550v1,Lentisphaera marina,IMCC 11369,Contig,2023-02-20,
GCA_002352765.1,ASM235276v2,Alteribacter populi,FJAT-45347,Scaffold,2017-09-19,3
GCA_022569295.1,ASM2256929v1,Pedomonas mirosovicensis,A1X5R2,Contig,2022-03-15,
GCA_014644315.1,ASM1464431v1,Tsuneonella deserti,CGMCC 1.15959,Contig,2020-09-11,
GCA_000319305.2,ASM31930v2,Pseudomonas bharatica CSV86,CSV86,Contig,2020-05-11,
GCA_001571385.1,ASM157138v1,Methanofollis ethanolicus,JCM 15103,Contig,2016-01-19,
GCA_003129465.1,ASM312946v1,Sphingosinicella humi,QZX222,Contig,2018-05-15,
GCA_010723225.1,ASM1072322v1,Mycolicibacter senuensis,JCM 16017,Contig,2020-02-06,
GCA_017876395.1,ASM1787639v1,Nesterenkonia lacusekhoensis,DSM 12544,Contig,2021-04-08,
GCA_042643165.1,ASM4264316v1,Marinicaulis aureus,KCTC 62394,Contig,2024-10-05,
GCA_007004095.1,ASM700409v1,Erythrobacter insulae,JBTF-M21,Contig,2019-07-15,
GCA_042677065.1,ASM4267706v1,Microbacterium insulae,CCUG 54523,Contig,2024-10-06,
GCA_042686025.1,ASM4268602v1,Terrimonas rubra,KCTC 23299,Scaffold,2024-10-07,4
GCA_030140925.1,ASM3014092v1,Parerythrobacter aestuarii,C18,Contig,2023-05-31,
GCA_026624755.1,ASM2662475v1,Robbsia betulipollinis,Bb-Pol-6,Contig,2022-12-03,
GCA_018334155.1,ASM1833415v1,Devosia litorisediminis,BSSL-BM10,Contig,2021-05-10,
GCA_000723585.1,PRJEB5515_assembly_1,Virgibacillus massiliensis,Vm-5,Contig,2014-05-16,
GCA_025028335.1,ASM2502833v1,Brachybacterium sillae,EF45031,Contig,2022-09-07,
GCA_003340475.1,ASM334047v1,Alteripontixanthobacter maritimus,HME9302,Contig,2018-07-25,
GCA_003813775.1,ASM381377v1,Chitinophaga lutea,ZY74,Contig,2018-11-21,
GCA_014200305.1,ASM1420030v1,Neomicrococcus lactis,DSM 23694,Contig,2020-08-14,
GCA_016587375.1,ASM1658737v1,Ktedonobacter robiniae,SOSP1-30,Contig,2020-12-17,
GCA_900111495.1,IMG-taxon 2684622833 annotated assembly,Chryseobacterium wanjuense,DSM 17724,Contig,2016-10-31,
GCA_039543825.1,ASM3954382v1,Nocardioides conyzicola,JCM 18531,Scaffold,2024-02-23,7
GCA_003259185.1,ASM325918v1,Isoalcanivorax indicus,SW127,Contig,2018-06-21,
GCA_900100925.1,IMG-taxon 2634166628 annotated assembly,Actinopolyspora saharensis,DSM 45459,Contig,2016-10-21,
GCA_037154015.1,ASM3715401v1,Altererythrobacter aquiaggeris,KCTC 52471,Contig,2024-03-14,
GCA_015732155.1,ASM1573215v1,Pectinatus sottacetonis,MB620,Contig,2020-12-03,
GCA_001747105.1,ASM174710v1,Roseivirga misakiensis,SK-8,Contig,2016-09-28,
GCA_007828155.1,ASM782815v1,Brevibacterium jeotgali,DSM 29217,Contig,2019-08-02,
GCA_001278945.1,ASM127894v1,Lysinibacillus contaminans,DSM 25560,Scaffold,2015-09-04,9
GCA_023516505.1,ASM2351650v1,Sphingomonas brevis,RB56-2,Contig,2022-05-22,
GCA_016888335.1,ASM1688833v1,Janibacter endophyticus,YIM B02568,Scaffold,2021-02-14,5
GCA_029783845.1,ASM2978384v1,Volucribacter amazonae,146/S8/89,Contig,2023-04-17,
GCA_041102775.1,ASM4110277v1,Isoalcanivorax beigongshangi,REN37,Scaffold,2024-08-07,8
GCA_006346395.1,ASM634639v1,Nocardioides plantarum,DSM 11054,Contig,2019-06-14,
GCA_037081715.1,ASM3708171v1,Halalkalicoccus ordinarius,CG83,Contig,2024-03-08,
GCA_004682015.1,ASM468201v1,Ramlibacter henchirensis,DSM 14656,Contig,2019-04-05,
GCA_046000505.1,ASM4600050v1,Sphingomonas plantiphila,ST-64,Scaffold,2024-12-11,13
GCA_030409845.1,ASM3040984v1,Flavobacterium branchiarum,CECT 7908,Contig,2023-07-05,
GCA_039539005.1,ASM3953900v1,Microbacterium soli,JCM 17024,Contig,2024-02-23,
GCA_014643415.1,ASM1464341v1,Aurantiacibacter arachoides,CGMCC 1.15507,Contig,2020-09-11,
GCA_003382365.1,ASM338236v1,Lysobacter silvisoli,zong2l5,Contig,2018-08-13,
GCA_008122505.1,ASM812250v1,Agromyces mariniharenae,NEAU-184,Scaffold,2019-08-28,3
GCA_009708035.1,ASM970803v1,Hyphomicrobium album,XQ2,Contig,2019-11-25,
GCA_900105765.1,IMG-taxon 2634166281 annotated assembly,Ruania alba,DSM 21368,Contig,2016-10-22,
GCA_015594545.1,ASM1559454v1,Staphylococcus durrellii,27_4_6_LY,Contig,2020-11-18,
GCA_900166635.1,PRJEB19430,Oceanobacillus timonensis,Marseille-P3532,Scaffold,2017-03-24,3
GCA_026157085.1,ASM2615708v1,Sphingomicrobium arenosum,NBRC 113094,Contig,2022-11-13,
GCA_007994735.1,ASM799473v1,Nesterenkonia populi,DSM 27959,Contig,2019-08-13,
